열차번호,호선,방향,역사명,급행코드,도착역,예정시간,실제시간,지연시간(분)
32,1,UP,제물포,0,양주,2025-05-29 07:30:30,2025-05-29 07:31:39,1.15
5545,5,DOWN,화곡,0,마천,2025-05-29 07:31:50,2025-05-29 07:31:39,-0.18333333333333332
3078,3,UP,일원,0,대화,2025-05-29 07:30:30,2025-05-29 07:31:40,1.1666666666666667
617,1,DOWN,금정,0,천안,2025-05-29 07:32:00,2025-05-29 07:31:40,-0.3333333333333333
8056,8,UP,산성,0,별내,2025-05-29 07:40:00,2025-05-29 07:31:42,-8.3
7067,7,DOWN,중화,0,석남,2025-05-29 07:31:00,2025-05-29 07:31:42,0.7
4528,4,UP,산본,0,불암산,2025-05-29 07:31:00,2025-05-29 07:31:42,0.7
8037,8,DOWN,구리,0,모란,2025-05-29 07:31:50,2025-05-29 07:31:43,-0.11666666666666667
4525,4,DOWN,사당,0,오이도,2025-05-29 07:30:00,2025-05-29 07:31:44,1.7333333333333334
8054,8,UP,복정,0,별내,2025-05-29 07:39:30,2025-05-29 07:31:44,-7.766666666666667
8056,8,UP,신흥,0,별내,2025-05-29 07:34:00,2025-05-29 07:31:44,-2.2666666666666666
1024,1,UP,개봉,1,용산,2025-05-29 07:31:30,2025-05-29 07:31:47,0.2833333333333333
3053,3,DOWN,삼송,0,수서,2025-05-29 07:31:00,2025-05-29 07:31:47,0.7833333333333333
8039,8,DOWN,다산,0,모란,2025-05-29 07:32:10,2025-05-29 07:31:48,-0.36666666666666664
3038,3,UP,주엽,0,대화,2025-05-29 07:31:00,2025-05-29 07:31:48,0.8
608,1,UP,석수,0,광운대,2025-05-29 07:32:00,2025-05-29 07:31:49,-0.18333333333333332
5034,5,UP,아차산(어린이대공원후문),0,방화,2025-05-29 07:30:40,2025-05-29 07:31:49,1.15
5518,5,UP,신금호,0,방화,2025-05-29 07:31:40,2025-05-29 07:31:49,0.15
5024,5,UP,여의도,0,방화,2025-05-29 07:31:10,2025-05-29 07:31:49,0.65
5038,5,UP,강동,0,방화,2025-05-29 07:31:40,2025-05-29 07:31:49,0.15
28,1,UP,부천,0,동두천,2025-05-29 07:31:00,2025-05-29 07:31:50,0.8333333333333334
31,1,DOWN,소사,0,인천,2025-05-29 07:31:30,2025-05-29 07:31:51,0.35
618,1,UP,두정,0,구로,2025-05-29 07:34:00,2025-05-29 07:31:53,-2.1166666666666667
416,1,UP,신도림,0,청량리,2025-05-29 07:32:30,2025-05-29 07:31:54,-0.6
8033,8,DOWN,암사,0,모란,2025-05-29 07:32:30,2025-05-29 07:31:55,-0.5833333333333334
29,1,DOWN,부개,0,인천,2025-05-29 07:31:30,2025-05-29 07:31:56,0.43333333333333335
35,1,DOWN,구로,0,인천,2025-05-29 07:31:30,2025-05-29 07:31:57,0.45
8038,8,UP,구리,0,별내,2025-05-29 07:31:30,2025-05-29 07:31:59,0.48333333333333334
3023,3,DOWN,수서,0,오금,2025-05-29 07:32:00,2025-05-29 07:31:59,-0.016666666666666666
8027,8,DOWN,산성,0,모란,2025-05-29 07:42:00,2025-05-29 07:32:00,-10.0
4534,4,UP,안산,0,불암산,2025-05-29 07:32:30,2025-05-29 07:32:01,-0.48333333333333334
3043,3,DOWN,무악재,0,오금,2025-05-29 07:31:30,2025-05-29 07:32:02,0.5333333333333333
7071,7,DOWN,하계,0,석남,2025-05-29 07:31:50,2025-05-29 07:32:03,0.21666666666666667
5013,5,DOWN,하남시청,0,하남검단산,2025-05-29 07:31:30,2025-05-29 07:32:05,0.5833333333333334
27,1,DOWN,간석,0,인천,2025-05-29 07:32:00,2025-05-29 07:32:08,0.13333333333333333
4303,4,DOWN,삼각지,0,안산,2025-05-29 07:30:30,2025-05-29 07:32:09,1.65
5514,5,UP,마포,0,방화,2025-05-29 07:32:00,2025-05-29 07:32:10,0.16666666666666666
5044,5,UP,미사,0,방화,2025-05-29 07:32:20,2025-05-29 07:32:11,-0.15
8056,8,UP,수진,0,별내,2025-05-29 07:32:30,2025-05-29 07:32:11,-0.31666666666666665
912,1,UP,망월사,0,양주,2025-05-29 07:31:30,2025-05-29 07:32:11,0.6833333333333333
8058,8,UP,단대오거리,0,별내,2025-05-29 07:40:40,2025-05-29 07:32:11,-8.483333333333333
8058,8,UP,수진,0,별내,2025-05-29 07:37:30,2025-05-29 07:32:11,-5.316666666666666
8058,8,UP,신흥,0,별내,2025-05-29 07:39:00,2025-05-29 07:32:11,-6.816666666666666
7058,7,UP,상동,0,장암,2025-05-29 07:32:20,2025-05-29 07:32:13,-0.11666666666666667
7048,7,UP,철산,0,도봉산,2025-05-29 07:32:10,2025-05-29 07:32:13,0.05
7040,7,UP,숭실대입구(살피재),0,도봉산,2025-05-29 07:32:00,2025-05-29 07:32:13,0.21666666666666667
7038,7,UP,총신대입구(이수),0,장암,2025-05-29 07:31:50,2025-05-29 07:32:13,0.38333333333333336
7056,7,UP,신중동,0,도봉산,2025-05-29 07:31:50,2025-05-29 07:32:13,0.38333333333333336
7062,7,UP,산곡,0,도봉산,2025-05-29 07:32:30,2025-05-29 07:32:13,-0.2833333333333333
7022,7,UP,마들,0,장암,2025-05-29 07:30:10,2025-05-29 07:32:13,2.05
7028,7,UP,사가정,0,도봉산,2025-05-29 07:31:30,2025-05-29 07:32:13,0.7166666666666667
4532,4,UP,고잔,0,불암산,2025-05-29 07:32:30,2025-05-29 07:32:14,-0.26666666666666666
4301,4,DOWN,대공원,0,안산,2025-05-29 07:31:30,2025-05-29 07:32:15,0.75
6027,6,DOWN,동묘앞,0,신내,2025-05-29 07:31:50,2025-05-29 07:32:15,0.4166666666666667
6033,6,DOWN,광흥창,0,봉화산,2025-05-29 07:30:50,2025-05-29 07:32:15,1.4166666666666667
8029,8,DOWN,장지,0,모란,2025-05-29 07:40:40,2025-05-29 07:32:16,-8.4
5023,5,DOWN,종로3가,0,하남검단산,2025-05-29 07:31:50,2025-05-29 07:32:20,0.5
5025,5,DOWN,공덕,0,하남검단산,2025-05-29 07:32:20,2025-05-29 07:32:20,0.0
5015,5,DOWN,명일,0,하남검단산,2025-05-29 07:30:10,2025-05-29 07:32:20,2.1666666666666665
5527,5,DOWN,개롱,0,마천,2025-05-29 07:31:50,2025-05-29 07:32:20,0.5
5029,5,DOWN,신정(은행정),0,하남검단산,2025-05-29 07:31:40,2025-05-29 07:32:20,0.6666666666666666
5535,5,DOWN,청구,0,마천,2025-05-29 07:32:10,2025-05-29 07:32:20,0.16666666666666666
5543,5,DOWN,양평,0,마천,2025-05-29 07:32:40,2025-05-29 07:32:20,-0.3333333333333333
5031,5,DOWN,발산,0,상일동,2025-05-29 07:32:20,2025-05-29 07:32:20,0.0
5033,5,DOWN,개화산,0,하남검단산,2025-05-29 07:32:00,2025-05-29 07:32:20,0.3333333333333333
3056,3,UP,홍제,0,대화,2025-05-29 07:30:00,2025-05-29 07:32:21,2.35
